stableId,sourceKey,courseId,disposition,path,reasonCode
mig002_d8ee37d979c48a80,mig001_10ba807183b4,middle-7-epic-001,REVIEW,course:middle-7-epic-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_e4e1745bd43f2379,mig001_41e9d5f9d4a4,middle-7-geography-001,REVIEW,course:middle-7-geography-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_fca982388b1afd7b,mig001_767555f4c824,middle-8-english-001,REVIEW,course:middle-8-english-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_ffbaeb09df1c7342,mig001_68e2eea56065,primary-1-language-001,REVIEW,course:primary-1-language-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_591bb0a8ba36db32,mig001_440818f738a6,primary-2-food-001,REVIEW,course:primary-2-food-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_f668dee7bf308505,mig001_79fc8250eef4,primary-3-charlotte-001,REVIEW,course:primary-3-charlotte-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; UNKNOWN_RESOURCE_RIGHTS; IMAGE_MISSING_ALT
mig002_83945370fc1e0ba1,mig001_5055ccd43bf4,primary-3-festival-001,REVIEW,course:primary-3-festival-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_da8f6ed8bf192884,mig001_74076be7f638,primary-4-math-001,REVIEW,course:primary-4-math-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
mig002_24b6806251a98e26,mig001_6194eb45b121,primary-5-poetry-001,REVIEW,course:primary-5-poetry-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; UNKNOWN_RESOURCE_RIGHTS; IMAGE_MISSING_ALT
mig002_e372908e448e29c1,mig001_f3d9ab560658,primary-6-ecology-001,REVIEW,course:primary-6-ecology-001,REQUIRES_VERSION_CONFIRMATION; NO_UNIT_STRUCTURE; EXTERNAL_RESOURCE_REFERENCE; UNKNOWN_RESOURCE_RIGHTS
