assetId,kind,mediaType,byteSize,sha256,duplicateGroup,language,rightsStatus,recommendedDisposition,futureObjectKeyHint
mig003-unknown-59a5feb18743a7e6,unknown,application/octet-stream,18882,59a5feb18743a7e6b30d024353f58dd9b18a0462ff0f253a5a4fd980ac31828e,dg-000038,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/59a5feb18743a7e6.json
mig003-unknown-4d9d3c139d314587,unknown,application/octet-stream,3900,4d9d3c139d314587d81c6e8396a8d328edea82a48a73a5237c8e6b46bbfd85a9,dg-000039,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/4d9d3c139d314587.json
mig003-unknown-ec4347cdbd9f3558,unknown,application/octet-stream,4194,ec4347cdbd9f35589d10a3f810e1b61717c58f9fd17501f909396b09611c2e3a,dg-000040,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/ec4347cdbd9f3558.json
mig003-unknown-de0d4231a2218f51,unknown,application/octet-stream,2637,de0d4231a2218f51c57ffc1315a7e3cce9b81084f7da34ef893dd6ef2c13c99d,dg-000041,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/de0d4231a2218f51.json
mig003-unknown-e1f17213b1fc7289,unknown,application/octet-stream,2578,e1f17213b1fc728934c39e4b08f79a80316bdcfdf4092668e3a1513d1c73f69a,dg-000042,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/e1f17213b1fc7289.json
mig003-unknown-b96b624db8ec3623,unknown,application/octet-stream,1866,b96b624db8ec36236fc82b790528568244e8df4dd97596a1194ca7c2c6b48a78,dg-000043,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/b96b624db8ec3623.md
mig003-unknown-1a8284803321872f,unknown,application/octet-stream,9542,1a8284803321872fbcd5a00ed08f6b137567494ab96b1b8396b88fbf5ad917d7,dg-000044,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/1a8284803321872f.md
mig003-unknown-ceaf625f8c085105,unknown,application/octet-stream,5999,ceaf625f8c085105cd8dd40e89cd9e5e5203a9d4b5267426a65b1e3d32725437,dg-000045,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/ceaf625f8c085105.md
mig003-unknown-1fdb0c35f9e601e8,unknown,application/octet-stream,7042,1fdb0c35f9e601e86709742333a3eb480498b2cf31d3cbdfbc3a5a924ee39043,dg-000046,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/1fdb0c35f9e601e8.md
mig003-unknown-dd4c81fac87be90d,unknown,application/octet-stream,7516,dd4c81fac87be90d8688365dfe7d780b6afcc5c7dce31c0b567c9e8e3b2a68ba,dg-000047,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/dd4c81fac87be90d.md
mig003-unknown-f047a0b858067325,unknown,application/octet-stream,5325,f047a0b858067325f26c7ce5ef691a779fbbd179ff476b78d76069cce7d121ee,dg-000048,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f047a0b858067325.md
mig003-unknown-eb5bdec33645abb9,unknown,application/octet-stream,7010,eb5bdec33645abb9066ea5a79225472abf2160c3b80a3e0f0bc2188b99099deb,dg-000049,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/eb5bdec33645abb9.md
mig003-unknown-24514c7f76fa71b0,unknown,application/octet-stream,11034,24514c7f76fa71b000d00a930a7c14bbfcd15425b50d57c369b2842dc0e711c4,dg-000050,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/24514c7f76fa71b0.md
mig003-unknown-603860c1372b0fa4,unknown,application/octet-stream,6510,603860c1372b0fa463401cb1a44bb3090957f9210dd0776f26418426dce57e23,dg-000051,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/603860c1372b0fa4.md
